Date,Time,Duration,From,To
1/03/2017,5:31:33,11:01, 6732 5123, 5326 4939
1/03/2017,5:41:02,7:16, 4084 1832, 4087 8869
1/03/2017,6:05:54,21:46, 4327 2022, 6268 1401
1/03/2017,6:06:22,14:39, 8768 2711, 4576 8862
1/03/2017,6:10:20,0:01, 5355 5886, 4993 0731
1/03/2017,6:15:55,2:43,727 692 410, 3338 1137
1/03/2017,6:17:39,0:27, 5672 7055, 6755 1558
1/03/2017,6:20:48,22:14, 8384 2611, 4069 9669
1/03/2017,6:22:19,15:26, 6755 2351, 8277 4866
1/03/2017,6:45:03,11:14, 6240 8849, 4611 6725
1/03/2017,6:50:07,6:54, 6115 4546,77 843 280
1/03/2017,6:51:40,23:42, 458-936, 6707 8667
1/03/2017,7:01:03,8:30, 5632 7446, 4933 5821
1/03/2017,7:08:55,11:23,353 3756, 9130-8950
1/03/2017,7:17:21,23:48, 8769 2498, 4689 5751
1/03/2017,7:31:41,5:00, 9009 4973, 8263 2022
1/03/2017,7:34:20,1:30, 4053 7947, 5379 8229
1/03/2017,7:37:24,15:58, 9005 1727, 5388 6634
1/03/2017,7:39:40,10:03, 4087 6139, 6282 9606
1/03/2017,7:48:12,16:11, 9637 4653, 8236 3230
1/03/2017,8:00:42,1:39, 5355 5886, 9637 4653
1/03/2017,8:14:06,18:52,031-443-157, 8845 1668
1/03/2017,8:16:20,15:08,595 867 461, 8958 5562
1/03/2017,8:21:03,0:25, 3253 9904, 4915 5706
1/03/2017,8:24:31,21:02,041-041-109, 6733 4785
1/03/2017,8:37:17,0:13,748 625 532, 4995 3157
1/03/2017,8:46:48,21:56, 4548 9144, 4993 0731
1/03/2017,8:58:47,15:30, 4563 1473, 5395 2288
1/03/2017,9:18:23,17:05, 9032 8217,72 111 892
1/03/2017,9:31:35,21:21, 9009 4973,0680 732 33 96
1/03/2017,9:31:57,9:47, 9026 7969, 6774 5454
1/03/2017,9:33:23,3:29,476 9923, 3147 0115
1/03/2017,9:41:06,7:02, 6766 1158, 4941 8938
1/03/2017,9:50:13,7:46,771 982 698, 4986 7328
1/03/2017,9:55:42,15:23, 8955 6935, 6743 8074
1/03/2017,9:56:38,1:34, 4090 2240, 8780 1977
1/03/2017,10:07:04,3:24, 4074 2849, 6194 8306
1/03/2017,10:09:06,1:13, 8453 0899, 9675 5904
1/03/2017,10:30:42,9:42, 4928 0152, 3338 1137
1/03/2017,10:31:22,4:04, 5355 5886, 6260 9581
1/03/2017,10:42:47,23:58, 6258 5122, 5372 9756
1/03/2017,10:49:58,11:33, 6792 2681, 5384 1056
1/03/2017,10:58:19,9:47, 5326 3217, 5376 5958
1/03/2017,11:01:08,21:47, 5337 8923, 9061 0051
1/03/2017,11:20:15,11:51,722 038 968, 4523 4363
1/03/2017,11:21:12,1:59, 6776 1367, 4912 7037
1/03/2017,11:46:30,1:51, 5388 7270,639 944 688
1/03/2017,11:49:17,12:18, 6755 2351,079 4012 3446
1/03/2017,11:58:45,7:51, 6732 5123, 4970 5199
1/03/2017,12:04:35,20:24,476 9923, 8702 3355
1/03/2017,12:26:39,23:57, 6258 5122, 6159 1861
1/03/2017,12:30:33,15:14, 4559 5377, 9984 1210
1/03/2017,12:48:46,21:10, 8453 0899, 3909 1346
1/03/2017,12:59:48,23:09, 4993 0731, 9637 4653
1/03/2017,13:08:09,14:47, 9006 6573,456 5772
1/03/2017,13:12:03,4:22, 4528 0018, 9932 7987
1/03/2017,13:16:50,1:53, 6755 2351, 9859 5873
1/03/2017,13:37:01,23:10, 3583 5510, 6785 4430
1/03/2017,13:38:00,11:19, 4546 0943, 4908 3875
1/03/2017,13:47:39,7:19, 8453 0899,077 2846 0669
1/03/2017,13:49:20,15:56, 8453 0899, 9637 4653
1/03/2017,13:52:48,23:10, 8223 0115, 4508 8144
1/03/2017,13:55:57,12:49, 8453 0899, 9637 4653
1/03/2017,14:02:58,10:42, 4548 9144, 8453 0899
1/03/2017,14:05:23,1:09, 8842 9215, 9975-3685
1/03/2017,15:45:38,9:43, 6230 9227,041-080-140
1/03/2017,15:47:00,21:47, 4673 3624, 3338 1137
1/03/2017,15:48:26,11:52, 6687 8036, 8793 5998
1/03/2017,15:50:25,13:57, 5329 2569, 5366 0658
1/03/2017,16:00:26,9:44, 4327 2022, 4074 8165
1/03/2017,16:17:44,10:29, 6253 1148, 8292 4263
1/03/2017,16:19:04,1:44, 6263 4851, 6116-345
1/03/2017,16:22:05,12:39, 6792 2681, 6734 4644
1/03/2017,16:32:05,0:31, 9009 1581, 9435 4163
1/03/2017,16:49:08,12:37, 4548 9144, 4930 0801
1/03/2017,17:04:39,22:13, 4981 0056, 5317 9837
1/03/2017,17:21:13,22:45, 7625-6406, 4005 8267
1/03/2017,17:23:42,18:09, 6758 0895, 8701 7320
1/03/2017,17:32:24,8:18, 5392 5763, 3338 1137
1/03/2017,17:45:08,7:21, 9728 2695, 3108 1879
1/03/2017,17:47:19,23:42, 4993 0731, 4548 9144
1/03/2017,17:58:08,11:47, 9009 1581, 5377 2399
1/03/2017,18:24:39,17:16, 9424 7518, 4991 1503
1/03/2017,18:27:27,4:12, 5329 2569, 4015 9017
1/03/2017,18:32:21,6:24, 4951 5123, 5333 8366
1/03/2017,18:35:15,14:29, 5355 5886, 3914 8532
1/03/2017,18:48:53,18:24, 3610 7890, 8357 6649
1/03/2017,18:59:26,10:51, 4541 9677, 8262 8644
1/03/2017,19:07:35,7:12, 4993 0731, 3126 4630
1/03/2017,19:13:14,7:05, 6732 5123, 4574 6333
1/03/2017,19:16:46,7:31, 5396 2270,070 6128 4216
1/03/2017,19:17:38,5:19, 6126 7308,9444 0823
1/03/2017,19:40:49,15:59, 8239 8144, 5659 2048
1/03/2017,20:11:30,2:02, 9001 7773, 4586 9978
1/03/2017,20:13:25,3:20, 0586-184, 6756 4058
1/03/2017,20:37:00,12:00, 6734 7086, 8313 1046
1/03/2017,20:47:48,0:49, 5307 3680, 4501 4830
1/03/2017,21:02:05,6:24, 9006 6573, 6780 4339
1/03/2017,21:03:51,15:19, 9561 6632, 6781 1187
1/03/2017,21:04:05,17:17, 4540 4399, 6758 9944
1/03/2017,21:04:59,18:10, 5355 5886, 9477 8972
1/03/2017,21:07:23,1:25, 9090 1446, 9716 8210
1/03/2017,21:19:12,1:06,620 393 943, 5380 1785
1/03/2017,21:24:31,22:09,0688 173 87 46, 4944 2183
1/03/2017,21:30:24,0:29, 6687 8036, 3951 0817
1/03/2017,21:31:37,9:32, 4515 8316, 9447 4266
1/03/2017,21:32:01,12:15, 8288 0441,76 369 192
1/03/2017,21:39:35,22:54, 5337 5630, 5358 0826
1/03/2017,21:50:02,11:05, 9675 5904, 6236 2188
1/03/2017,21:58:38,13:17, 6797 0191, 9033 4769
1/03/2017,22:02:32,14:31, 4548 9144, 3338 1137
1/03/2017,22:11:28,18:59,476 9923, 6738 1566
1/03/2017,22:15:11,20:31, 4536 4700, 4962 5401
1/03/2017,22:18:19,7:09,741 887 205, 6764 9685
1/03/2017,22:25:48,9:49, 5350 7926, 6172 3551
1/03/2017,22:28:16,6:51, 8207 2803, 6230 6291
1/03/2017,22:40:46,23:52, 4541 6689, 4081 6517
1/03/2017,22:43:49,23:29, 5399 8170, 5350 0496
1/03/2017,22:48:58,12:23, 5307 5230, 9050 3822
1/03/2017,22:52:30,6:15, 5312 0561, 8944 2945
1/03/2017,23:02:49,3:00, 5355 5886, 6758 0895
1/03/2017,23:07:05,15:41, 4034 6525,041-549-080
1/03/2017,23:10:29,3:35, 5691 6292, 5339 3652
1/03/2017,23:40:17,15:49, 4993 0731, 5350 7926
1/03/2017,23:46:17,15:11, 8604 2338, 9007 5764
1/03/2017,23:51:43,3:54, 5355 5886, 9424 7518
1/03/2017,23:54:20,5:21, 9034 3254, 5375 3133
1/03/2017,23:59:20,2:31, 6797 0191, 5350 7696
2/03/2017,0:02:31,14:07, 4582 8933, 9072 9242
2/03/2017,0:11:11,10:14, 5302 6612, 8623 3433
2/03/2017,0:26:41,17:46,722 038 968, 8833 8832
2/03/2017,0:35:40,0:12,9553 6664, 4517 2725
2/03/2017,0:39:59,11:05,(44) 168-687, 8944 2945
2/03/2017,1:01:17,13:51, 5346 4215,458 9436
2/03/2017,1:19:35,10:55, 9327 4748, 9022 2119
2/03/2017,1:23:52,1:32, 8604 2338, 5398 1343
2/03/2017,1:36:12,16:29, 5319 7827, 3338 1137
2/03/2017,1:37:54,21:51, 5388 7270, 6163 5564
2/03/2017,1:56:49,10:18, 6644-595, 8377 3208
2/03/2017,2:00:27,16:05, 4563 1473, 4952 2468
2/03/2017,2:23:47,3:54, 5302 6612, 3002 2768
2/03/2017,2:47:35,14:26, 9588 0693, 7359-886
2/03/2017,2:57:20,19:46, 4909 8638, 4005 6906
2/03/2017,2:57:37,17:29, 3583 5510, 4910 2167
2/03/2017,3:21:49,15:44, 9009 4973, 4036 9303
2/03/2017,3:24:53,23:54, 4528 0018, 8245 0722
2/03/2017,3:26:45,7:09, 4591 6175, 8404-480
2/03/2017,3:31:11,12:59, 3253 9904, 6240 4011
2/03/2017,3:41:11,12:05, 6263 4851, 9497 9676
2/03/2017,3:45:50,9:58, 5691 6292,9526 2848
2/03/2017,4:07:43,2:25, 5355 5886, 9424 7518
2/03/2017,4:15:22,16:23, 4993 0731, 3126 4630
2/03/2017,4:15:44,21:49, 8453 0899, 3909 1346
2/03/2017,4:24:04,1:35, 4059 7191, 9713 4737
2/03/2017,4:51:35,2:43, 8239 8144, 4090 7527
2/03/2017,5:11:27,10:17, 3951 0817, 4964 4414
2/03/2017,5:46:35,3:37, 6264 3127, 6114 3069
2/03/2017,5:53:08,0:16, 4548 9144, 6197 5865
2/03/2017,5:54:17,11:05, 5399 5907, 3076 0277
2/03/2017,5:56:33,12:31, 5399 5907, 4514 3307
2/03/2017,6:10:20,19:56, 4074 2849, 8278 3090
2/03/2017,6:24:45,13:26, 9284 7583,078 2264 6086
2/03/2017,6:32:26,4:56, 5391 8979, 8251 7043
2/03/2017,6:34:25,19:09, 5347 9625, 4567 4270
2/03/2017,6:46:42,10:37, 2916-513, 6285 2278
2/03/2017,6:53:45,7:52, 4994 2133, 5338 2637
2/03/2017,6:59:36,5:27, 9032 8217,467 3911
2/03/2017,7:34:15,12:11, 6271 3536, 3694 8473
2/03/2017,7:35:40,7:54, 4591 1165, 5334 1211
2/03/2017,7:48:49,7:49, 4505 0156, 5373 6390
2/03/2017,7:49:13,5:19, 5355 5886, 6702 8557
2/03/2017,7:52:23,10:10, 6139 0969, 8233 3646
2/03/2017,8:09:46,1:08, 6118 3418, 5337 9607
2/03/2017,8:13:51,6:48, 6195 4861, 9491 7667
2/03/2017,8:21:54,3:56, 5337 5630, 9083 6033
2/03/2017,8:44:54,1:49, 9811 5291, 4037 5748
2/03/2017,8:46:28,8:46, 9076 6777, 9097 4036
2/03/2017,8:52:05,17:12, 9016 9853, 6203 7481
2/03/2017,9:06:07,3:40, 9728 2695, 6261 4909
2/03/2017,9:11:56,5:37, 4090 2240, 9266 9152
2/03/2017,9:21:44,15:27, 4969 0767, 4032 3726
2/03/2017,9:25:53,14:10, 9340 2963,070-693-773
2/03/2017,9:28:25,2:42, 4993 0731, 3126 4630
2/03/2017,9:35:09,22:26, 4582 8933, 5386 0784
2/03/2017,9:39:45,15:10, 4085 1939, 4966 2225
2/03/2017,9:44:14,10:36, 8453 0899, 4927 1341
2/03/2017,9:57:56,7:58, 6758 0895,411 182 216
2/03/2017,10:00:36,7:38, 8210 6899, 5328 5463
2/03/2017,10:19:50,16:30, 5335 3347, 5313 4232
2/03/2017,10:27:32,10:42,476 9923, 8308 9775
2/03/2017,10:32:38,18:15,(020) 4220-464, 5383 7267
2/03/2017,10:35:14,0:24, 9062 6478, 6201 0078
2/03/2017,11:03:35,0:24, 5632 7446, 4928 5599
2/03/2017,11:10:20,7:21, 9561 6632,9539 8768
2/03/2017,11:12:50,16:02, 9009 1581,(95) 104-801
2/03/2017,11:13:22,23:10,031-443-157, 5313 9957
2/03/2017,11:24:09,14:30, 4938 6397, 9368 6632
2/03/2017,11:26:14,14:13, 8604 2338, 5320 3904
2/03/2017,11:43:44,12:10, 5355 5886, 6797 0191
2/03/2017,11:47:58,18:45, 4706 2002, 9319 0112
2/03/2017,11:51:53,1:25, 4536 4700, 6203 1585
2/03/2017,11:54:49,22:44, 4548 9144, 4993 0731
2/03/2017,11:58:02,18:59, 6263 4851, 6618 5446
2/03/2017,12:00:03,10:51, 4582 8933, 5353 5523
2/03/2017,12:02:56,13:38, 3951 0817, 4920 1980
2/03/2017,12:05:36,0:12, 5347 9625, 3338 1137
2/03/2017,12:07:18,18:40, 8453 0899, 9009 1581
2/03/2017,12:11:02,3:15, 5341 1327, 9201 8267
2/03/2017,12:30:07,5:23, 9637 4653, 6266 4152
2/03/2017,12:30:28,17:40, 9728 2695, 8312 9833
2/03/2017,12:32:07,6:40, 4993 0731, 6240 8849
2/03/2017,12:55:33,13:44, 6125 9434, 3896 6162
2/03/2017,13:01:20,18:30, 3951 0817, 6273 6208
2/03/2017,13:02:22,3:56, 4527 1110, 4052 5460
2/03/2017,13:05:59,23:09, 8364 0116, 9004 3171
2/03/2017,13:06:48,3:05, 5391 8979, 9318 0024
2/03/2017,13:10:45,22:40, 8955 6935, 9028 7021
2/03/2017,13:23:08,2:21,077 2846 0669, 6760 8217
2/03/2017,13:49:08,0:33, 6255 6689, 4068 3349
2/03/2017,13:50:53,18:22, 6220 8320, 9037 8679
2/03/2017,13:53:48,0:50, 4544 6892, 9590 0925
2/03/2017,13:59:58,8:50, 8304 0846, 4014 3252
2/03/2017,14:00:30,0:27,077 5273 8067, 3540 7691
2/03/2017,14:01:43,21:04, 8842 9215, 4942 4242
2/03/2017,14:07:03,8:22, 5350 7926, 6796 5457
2/03/2017,14:46:12,10:50, 4947 0783, 4999 2286
2/03/2017,14:50:43,8:02, 4536 4700, 8385 0161
2/03/2017,14:57:54,1:35, 6755 2351, 4001 6888
2/03/2017,15:05:31,16:32, 8453 0899, 6260 9581
2/03/2017,15:06:13,21:09, 5355 5886, 4993 0731
2/03/2017,15:10:56,23:01,741 887 205,74 511 891
2/03/2017,15:13:02,20:26, 6104 3696, 9216 2138
2/03/2017,15:20:20,0:58, 8453 0899, 9637 4653
2/03/2017,15:28:09,23:36, 7625-6406, 4992 0348
2/03/2017,15:30:08,23:30, 3583 5510, 5367 9907
2/03/2017,15:37:16,5:17, 6747 9584, 8751 1269
2/03/2017,15:38:35,2:18, 9728 2695, 4564 7555
2/03/2017,15:58:36,10:33, 4541 0336,077 4994 5000
2/03/2017,16:06:39,7:22, 4053 7947, 5350 7696
2/03/2017,16:06:49,5:54, 6797 0191, 5304 6394
2/03/2017,16:10:34,19:09, 4591 1165,(68) 689-306
2/03/2017,16:19:21,10:11, 6240 8849, 5356 7247
2/03/2017,16:20:11,5:52, 9390 7936, 9185 7859
2/03/2017,16:29:31,16:35, 4993 0731, 4548 9144
2/03/2017,16:53:02,5:52, 9284 7583,(43) 9908-7512
2/03/2017,16:54:31,13:53,(44) 168-687, 5370 6134
2/03/2017,16:57:10,21:13, 5319 7827, 4022 7391
2/03/2017,17:14:57,4:08, 4976 9451, 3338 1137
2/03/2017,17:31:38,22:57, 3610 7890, 6146 0941
2/03/2017,17:31:41,2:31, 9098 1379, 5355 2979
2/03/2017,17:35:07,8:20, 9637 4653, 4518 3808
2/03/2017,17:47:06,3:51, 5319 7827, 6116 0318
2/03/2017,17:50:48,21:53,(36) 560-456, 4596 7650
2/03/2017,17:53:09,17:26, 5355 5886, 5392 5763
2/03/2017,17:59:13,11:49, 5355 5886, 9424 7518
2/03/2017,18:01:34,9:10, 4528 0018, 4081 6517
2/03/2017,18:04:11,20:26, 4540 4399, 6230 2509
2/03/2017,18:16:20,4:11, 6797 0191, 8222 1549
2/03/2017,18:35:29,11:12, 8453 0899, 3909 1346
2/03/2017,18:55:31,23:43, 8453 0899, 5380 8256
2/03/2017,19:19:55,13:11, 6687 8036, 4516 5385
2/03/2017,19:34:39,18:05, 4548 9144, 5355 5886
2/03/2017,19:39:01,20:38, 6241 1295,462 8404
2/03/2017,19:44:37,4:25, 6755 2351, 4944 4363
2/03/2017,19:49:41,12:01, 5307 3680, 8372 7104
2/03/2017,19:50:34,13:16, 4055 3027, 4910 2450
2/03/2017,19:51:19,8:11, 4781 6936,031-533-227
2/03/2017,19:52:16,17:20,722 038 968,(027) 2575-486
2/03/2017,20:29:06,3:21,(44) 972-345, 4563 2109
2/03/2017,20:30:39,10:00, 5345 2494, 4908 3552
2/03/2017,20:39:58,3:57, 6791 5095, 9309 1835
2/03/2017,20:40:42,14:50, 6126 5249, 5344 1906
2/03/2017,21:00:42,0:16, 9005 1727, 6108 1012
2/03/2017,21:04:53,20:12, 4548 9144, 5355 5886
2/03/2017,21:06:58,11:34, 6209 0416, 4073 9053
2/03/2017,21:42:32,14:43, 4563 1473, 4043 7058
2/03/2017,21:44:41,19:51, 6240 8849, 5381 6446
2/03/2017,21:50:12,9:18,575 580 002,079 7614 0740
2/03/2017,21:56:02,14:28,079 6565 3546, 8747 8096
2/03/2017,21:58:17,11:08, 5355 5886, 5337 5630
2/03/2017,22:11:43,5:47, 4557 0333, 6741 3988
2/03/2017,22:32:01,7:09, 5355 5886, 4548 9144
2/03/2017,22:37:37,21:06, 4099 4224, 8711 9664
2/03/2017,22:46:26,8:09, 6736 6420, 8695 4215
2/03/2017,23:04:48,18:04, 4548 9144, 8453 0899
2/03/2017,23:05:00,13:33, 4548 9144, 3338 1137
2/03/2017,23:08:48,13:23, 4327 2022, 6790 2421
2/03/2017,23:36:01,10:12, 5347 9625, 8393 4235
2/03/2017,23:46:17,21:09, 3583 5510, 4538 1401
2/03/2017,23:49:03,16:09, 4053 7947,72 823 878
2/03/2017,23:55:25,18:54,0680 772 10 02, 8793 5998
3/03/2017,0:02:10,8:10, 5355 5886, 4064 4131
3/03/2017,0:05:27,11:10,722 038 968, 5332 2573
3/03/2017,0:26:12,22:34, 8453 0899, 9637 4653
3/03/2017,0:57:08,23:27, 6140 3800, 8348 2363
3/03/2017,1:12:30,18:52, 5396 1795, 6218 7461
3/03/2017,1:13:05,2:06, 8842 9215, 9870 6444
3/03/2017,1:26:16,15:51, 3583 5510, 4010 1516
3/03/2017,1:36:58,11:24, 4045 7441,(56) 574-814
3/03/2017,2:39:58,3:06,031-885-169, 6237 6737
3/03/2017,2:43:36,13:28, 9098 1379,(34) 2673-2803
3/03/2017,2:52:16,21:20, 4046 8242, 5320 9424
3/03/2017,2:53:09,0:14, 4541 0336, 8695 4215
3/03/2017,2:54:41,9:13, 4544 6892, 1363-786
3/03/2017,3:14:10,9:25, 8050 9021, 4012 8598
3/03/2017,3:18:42,8:10, 6755 2351, 4921 9433
3/03/2017,3:24:45,7:20, 6104 3696, 4090 4297
3/03/2017,3:30:51,9:32, 6126 5249, 8913 7609
3/03/2017,3:53:57,4:14,722 038 968, 6271 5178
3/03/2017,3:54:33,3:36, 5393 8654, 6756 6821
3/03/2017,4:00:17,22:34, 2916-513, 9041 8066
3/03/2017,4:03:34,20:37, 6271 3536, 8257 4005
3/03/2017,4:14:33,6:47, 8483 9935,(72) 562-730
3/03/2017,4:22:16,23:02, 5365 1688, 6738 7075
3/03/2017,4:23:23,14:35, 6240 8849,662 646 208
3/03/2017,4:30:18,10:58, 4536 4700,(87) 113-175
3/03/2017,4:31:09,0:57, 5355 5886, 4993 0731
3/03/2017,4:37:45,14:15, 6780 7105,383 6895
3/03/2017,4:42:48,14:19, 4541 0336, 6177 3564
3/03/2017,4:59:08,18:21, 4920 6309, 6165 4695
3/03/2017,5:30:50,2:55, 5320 4291, 8721 6445
3/03/2017,5:39:23,3:07, 4544 6892, 8339 6033
3/03/2017,5:43:52,20:40, 9340 2963, 8723 5791
3/03/2017,5:46:30,16:44,(36) 560-456, 9982 6398
3/03/2017,5:48:36,21:06, 9211 1679, 3345 6964
3/03/2017,5:49:32,5:05,476 9923, 9177 1428
3/03/2017,6:10:38,17:23, 2916-513, 4092 4264
3/03/2017,6:23:35,17:34, 8955 6935,617 852 782
3/03/2017,6:26:08,18:51, 5632 7446, 5387 3251
3/03/2017,6:36:09,20:12, 9030 5278, 4947 3543
3/03/2017,6:37:51,4:25, 4548 9591,(68) 689-306
3/03/2017,6:40:10,21:35, 4548 9144, 9211 1679
3/03/2017,6:55:45,12:30, 8453 0899, 8155 0102
3/03/2017,7:05:59,9:13, 5347 9625, 4046 8242
3/03/2017,7:09:39,13:30, 8955 6935, 8263 2022
3/03/2017,7:13:37,18:46, 6747 9584,(95) 803-209
3/03/2017,7:15:51,6:50, 4993 0731, 4548 9144
3/03/2017,7:37:28,4:45, 3856 1429, 4944 4363
3/03/2017,7:40:45,18:22, 5388 7270,323 2327
3/03/2017,7:49:44,16:05, 5372 6494, 4903 5822
3/03/2017,7:50:10,12:00, 6687 8036,73 450 773
3/03/2017,7:55:23,7:00, 4548 9591, 6232 4177
3/03/2017,7:57:50,3:55, 4993 0731, 9327 4748
3/03/2017,7:58:40,14:47, 8453 0899, 5353 3351
3/03/2017,8:19:43,11:21, 6133 6793, 4031 9141
3/03/2017,9:03:02,9:28, 9588 0693,311 255 816
3/03/2017,9:11:01,4:02, 3093 1976, 5371 7572
3/03/2017,9:21:02,17:52, 9098 0929, 8288 3607
3/03/2017,9:26:24,20:56, 6104 3696, 4059 9643
3/03/2017,9:35:14,10:29, 5399 5907, 6161 5442
3/03/2017,9:45:13,20:00, 9340 2963, 4054 6954
3/03/2017,9:54:21,12:10, 5346 4215,75 133 815
3/03/2017,10:13:58,9:02,575 580 002, 6702 3866
3/03/2017,10:14:14,12:54, 9637 4653, 8307 7051
3/03/2017,10:24:09,15:50, 4055 3027, 9494 5520
3/03/2017,10:25:17,21:55, 9637 4653, 5363 7392
3/03/2017,10:35:08,16:04, 9001 7773, 4087 8141
3/03/2017,10:35:46,13:32, 5399 5907, 4504 3861
3/03/2017,10:37:40,18:06, 4541 9677, 5303 9323
3/03/2017,10:40:26,2:25, 9032 8217, 4994 9662
3/03/2017,10:52:33,10:13, 5672 7055, 8282 5792
3/03/2017,10:55:07,3:53, 5355 5886, 6797 0191
3/03/2017,11:01:28,11:32, 9588 0693, 9133 3261
3/03/2017,11:04:59,5:32, 8050 9021, 5360 6765
3/03/2017,11:20:51,9:45, 6713 4537, 9018 7139
3/03/2017,11:27:37,2:45, 458-936, 4921 5652
3/03/2017,11:34:10,17:38,746 245 088, 5326 2776
3/03/2017,11:41:02,6:56, 5372 2009, 4005 1096
3/03/2017,11:53:01,8:52,741 887 205, 6131 5788
3/03/2017,12:27:03,7:39,041-041-109, 9286 8101
3/03/2017,12:27:06,18:29,0688 173 87 46, 9081 6721
3/03/2017,12:36:16,10:13,322 875 448, 6231 6327
3/03/2017,12:38:45,3:48,722 038 968, 6234 7984
3/03/2017,12:41:07,1:11, 5337 5630, 6159 6158
3/03/2017,12:50:28,13:06, 4969 0767,398 366 493
3/03/2017,13:13:49,21:10, 7625-6406, 6212 5721
3/03/2017,13:18:47,10:44, 8540 2671, 4500 7168
3/03/2017,13:30:25,14:10, 8310 4765, 5319 6358
3/03/2017,13:32:57,9:13, 4706 2002,320 186 703
3/03/2017,13:39:40,19:33, 5329 2569, 5335 0993
3/03/2017,13:45:50,17:15, 5355 5886, 3914 8532
3/03/2017,13:50:16,13:32, 8050 9021, 903-111
3/03/2017,13:54:37,1:00, 5329 2569, 5395 9856
3/03/2017,13:58:00,8:33, 9637 4653, 4937 1899
3/03/2017,14:06:52,8:43, 4879-9501, 5352 3004
3/03/2017,14:11:28,2:04, 4548 9144, 5355 5886
3/03/2017,14:12:29,2:23, 4059 7191, 5359 2037
3/03/2017,14:16:14,5:59, 8453 0899, 6766 1158
3/03/2017,14:19:13,20:43, 4993 0731, 3303 8187
3/03/2017,14:22:07,5:07, 6797 0191, 4072 1571
3/03/2017,14:25:14,10:21, 4518 8917, 4017 6697
3/03/2017,14:25:56,8:39, 6713 4537, 4086 5259
3/03/2017,14:35:40,20:19, 9019 1570, 6620 3040
3/03/2017,14:36:30,22:05, 8540 2671, 8285 8565
3/03/2017,14:47:47,18:25, 5347 9625, 9029 5887
3/03/2017,14:49:22,0:36, 5366 0163, 9063 7362
3/03/2017,14:49:35,8:40, 8297 7924, 9059 2138
3/03/2017,15:04:21,13:43, 8453 0899, 9637 4653
3/03/2017,15:05:34,9:47, 5355 5886, 4993 0731
3/03/2017,15:11:14,17:44, 5312 2919, 5364 1008
3/03/2017,15:11:16,15:23, 4947 0783, 4531 6958
3/03/2017,15:30:37,4:01, 5355 5886, 6758 0895
3/03/2017,15:48:00,19:52, 6745 9965, 6709 5485
3/03/2017,15:51:00,12:37, 6759 4932, 9167 8033
3/03/2017,15:55:34,15:22, 9423 2494, 6521-4930
3/03/2017,16:13:18,3:08, 4673 3624, 5367 4127
3/03/2017,16:20:50,11:12, 6767 4495, 4077 1744
3/03/2017,16:25:50,18:36, 9728 2695, 4524 1957
3/03/2017,16:33:34,21:38, 4034 6525, 6722 2424
3/03/2017,16:33:58,6:28, 8453 0899, 5392 5763
3/03/2017,16:41:09,1:09,070-612-355,603 5987
3/03/2017,16:55:00,1:51,031-885-169, 6216 0834
3/03/2017,16:56:41,14:15,079 6565 3546, 5635 3725
3/03/2017,17:08:00,9:37,620 001 750, 6604 2682
3/03/2017,17:15:02,10:14, 6125 9434, 3033 9118
3/03/2017,17:38:55,7:49, 4087 6139,(028) 8616-804
3/03/2017,18:14:21,12:51, 9352 4877, 9956 3490
